"subj","rt","resp","cond","r1","r2","t1","t2"
1,2210,1,0.3,10,31.269,0,44
1,2006,1,0.5,10,28.87,0,37
1,3126,0,0.3,10,22.912,0,27
1,3080,1,0.5,10,29.38,0,38
1,3258,1,0.7,10,22.514,0,23
1,3464,1,0.5,10,24.28,0,28
1,3112,1,0.5,10,31.93,0,43
1,2300,1,0.9,10,31.014,0,36
1,2170,0,0.1,10,18.772,0,21
1,2002,1,0.5,10,30.91,0,41
1,1886,1,0.7,10,28.327,0,34
1,1852,0,0.5,10,19.69,0,19
1,2228,1,0.9,10,22.648,0,21
1,3284,1,0.3,10,25.861,0,33
1,4144,1,0.1,10,24.781,0,34
1,2234,1,0.5,10,23.26,0,26
1,2556,1,0.9,10,28.784,0,32
1,2106,1,0.7,10,25.157,0,28
1,1734,0,0.1,10,16.46,0,16
1,1766,0,0.5,10,17.65,0,15
1,3014,1,0.5,10,22.24,0,24
1,1576,0,0.5,10,17.65,0,15
1,3218,0,0.3,10,22.42,0,26
1,1878,1,0.5,10,28.36,0,36
1,1748,0,0.1,10,16.922,0,17
1,2376,0,0.3,10,17.504,0,16
1,2186,1,0.3,10,25.861,0,33
1,2308,1,0.3,10,25.861,0,33
1,1590,0,0.3,10,17.013,0,15
1,2022,0,0.9,10,19.302,0,15
1,2994,1,0.5,10,20.2,0,20
1,3910,1,0.7,10,27.799,0,33
1,1724,0,0.7,10,18.816,0,16
1,2786,0,0.3,10,22.42,0,26
1,2788,1,0.5,10,27.34,0,34
1,2942,1,0.1,10,26.168,0,37
1,2880,1,0.9,10,31.014,0,36
1,2672,1,0.9,10,20.418,0,17
1,3274,1,0.5,10,24.79,0,29
1,2350,1,0.3,10,23.403,0,28
1,2948,1,0.1,10,20.621,0,25
1,2588,0,0.5,10,19.69,0,19
1,2522,1,0.7,10,28.855,0,35
1,1978,1,0.9,10,31.014,0,36
1,2240,1,0.3,10,27.828,0,37
1,2650,1,0.7,10,25.685,0,29
1,2356,1,0.7,10,27.27,0,32
2,1994,1,0.5,10,24.432,0,44
2,1824,0,0.5,10,17.216,0,22
2,2066,1,0.5,10,20.824,0,33
2,2834,0,0.5,10,19.84,0,30
2,3214,1,0.7,10,25.8041,0,42
2,2610,1,0.9,10,27.433,0,38
2,2168,0,0.3,10,17.8476,0,29
2,3520,0,0.5,10,14.92,0,15
2,2752,1,0.5,10,23.12,0,40
2,2634,0,0.1,10,14.9405,0,28
2,2608,1,0.7,10,22.9563,0,34
2,2786,1,0.7,10,24.7362,0,39
2,2908,0,0.1,10,18.7722,0,43
2,2784,1,0.9,10,27.0325,0,37
2,3028,1,0.5,10,16.56,0,20
2,3848,1,0.5,10,18.856,0,27
2,2890,1,0.9,10,29.4358,0,43
2,2122,1,0.3,10,22.0479,0,43
2,2820,0,0.3,10,17.2476,0,27
2,2536,1,0.3,10,21.7479,0,42
2,3882,1,0.3,10,13.9473,0,16
2,2362,1,0.9,10,22.2258,0,25
2,2182,1,0.9,10,28.2341,0,40
2,2782,1,0.5,10,14.92,0,15
2,2888,0,0.3,10,14.8474,0,19
2,2974,1,0.5,10,16.888,0,21
2,2254,0,0.1,10,13.1524,0,21
2,1696,1,0.5,10,20.824,0,33
2,2722,0,0.5,10,17.544,0,23
2,2124,1,0.9,10,20.6236,0,21
2,2608,1,0.9,10,18.2203,0,15
2,2056,1,0.5,10,22.464,0,38
2,2340,1,0.7,10,20.8204,0,28
2,2496,1,0.5,10,24.104,0,43
2,2228,1,0.5,10,19.512,0,29
2,1940,1,0.5,10,18.856,0,27
2,2064,1,0.7,10,25.4481,0,41
2,2500,1,0.9,10,24.6292,0,31
2,2376,1,0.9,10,20.6236,0,21
2,2150,1,0.5,10,21.48,0,35
2,2336,1,0.5,10,23.12,0,40
2,3498,1,0.7,10,16.1927,0,15
2,2244,1,0.9,10,26.6319,0,36
2,3204,0,0.5,10,18.528,0,26
2,2110,1,0.3,10,21.1479,0,40
2,2512,0,0.3,10,18.1476,0,30
2,3060,1,0.7,10,23.6682,0,36
2,3044,0,0.5,10,19.184,0,28
2,2734,0,0.7,10,19.3965,0,24
2,2726,0,0.5,10,16.56,0,20
2,2354,0,0.1,10,12.8969,0,20
2,2648,1,0.7,10,23.6682,0,36
